# BEGIN PLOT
DrawOnly=/Users/lukas/Code/atlas/dmhiggs/rivet/Rivet.yoda/DMHiggsFiducial/MET
Title=Missing $E_\mathrm{T}$
XLabel=$E_\mathrm{T}^\mathrm{miss}$
Legend=1
LogY=1
# END PLOT

# BEGIN HISTOGRAM /Users/lukas/Code/atlas/dmhiggs/rivet/Rivet.yoda/DMHiggsFiducial/MET
LineColor={[HTML]{EE3311}}
LineStyle=solid
Path=/Users/lukas/Code/atlas/dmhiggs/rivet/Rivet.yoda/DMHiggsFiducial/MET
Title=Rivet
XLabel=
YLabel=
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	2.500000e+01	2.682400e+02	3.275607e+00	3.275607e+00
2.500000e+01	5.000000e+01	5.749600e+02	4.795665e+00	4.795665e+00
5.000000e+01	7.500000e+01	5.147600e+02	4.537665e+00	4.537665e+00
7.500000e+01	1.000000e+02	3.455200e+02	3.717634e+00	3.717634e+00
1.000000e+02	1.250000e+02	2.060000e+02	2.870540e+00	2.870540e+00
1.250000e+02	1.500000e+02	1.180400e+02	2.172924e+00	2.172924e+00
1.500000e+02	1.750000e+02	6.708000e+01	1.638048e+00	1.638048e+00
1.750000e+02	2.000000e+02	4.012000e+01	1.266807e+00	1.266807e+00
2.000000e+02	2.250000e+02	2.276000e+01	9.541488e-01	9.541488e-01
2.250000e+02	2.500000e+02	1.488000e+01	7.714921e-01	7.714921e-01
2.500000e+02	2.750000e+02	9.120000e+00	6.039868e-01	6.039868e-01
2.750000e+02	3.000000e+02	5.840000e+00	4.833218e-01	4.833218e-01
3.000000e+02	3.250000e+02	4.080000e+00	4.039802e-01	4.039802e-01
3.250000e+02	3.500000e+02	2.320000e+00	3.046309e-01	3.046309e-01
3.500000e+02	3.750000e+02	1.720000e+00	2.622975e-01	2.622975e-01
3.750000e+02	4.000000e+02	1.400000e+00	2.366432e-01	2.366432e-01
4.000000e+02	4.250000e+02	8.800000e-01	1.876166e-01	1.876166e-01
4.250000e+02	4.500000e+02	6.400000e-01	1.600000e-01	1.600000e-01
4.500000e+02	4.750000e+02	3.200000e-01	1.131371e-01	1.131371e-01
4.750000e+02	5.000000e+02	3.600000e-01	1.200000e-01	1.200000e-01
5.000000e+02	5.250000e+02	2.400000e-01	9.797959e-02	9.797959e-02
5.250000e+02	5.500000e+02	3.600000e-01	1.200000e-01	1.200000e-01
5.500000e+02	5.750000e+02	4.000000e-02	4.000000e-02	4.000000e-02
5.750000e+02	6.000000e+02	8.000000e-02	5.656854e-02	5.656854e-02
6.000000e+02	6.250000e+02	8.000000e-02	5.656854e-02	5.656854e-02
6.250000e+02	6.500000e+02	0.000000e+00	0.000000e+00	0.000000e+00
6.500000e+02	6.750000e+02	4.000000e-02	4.000000e-02	4.000000e-02
6.750000e+02	7.000000e+02	4.000000e-02	4.000000e-02	4.000000e-02
7.000000e+02	7.250000e+02	4.000000e-02	4.000000e-02	4.000000e-02
7.250000e+02	7.500000e+02	0.000000e+00	0.000000e+00	0.000000e+00
7.500000e+02	7.750000e+02	0.000000e+00	0.000000e+00	0.000000e+00
7.750000e+02	8.000000e+02	0.000000e+00	0.000000e+00	0.000000e+00
8.000000e+02	8.250000e+02	0.000000e+00	0.000000e+00	0.000000e+00
8.250000e+02	8.500000e+02	4.000000e-02	4.000000e-02	4.000000e-02
8.500000e+02	8.750000e+02	0.000000e+00	0.000000e+00	0.000000e+00
8.750000e+02	9.000000e+02	0.000000e+00	0.000000e+00	0.000000e+00
9.000000e+02	9.250000e+02	0.000000e+00	0.000000e+00	0.000000e+00
9.250000e+02	9.500000e+02	0.000000e+00	0.000000e+00	0.000000e+00
9.500000e+02	9.750000e+02	0.000000e+00	0.000000e+00	0.000000e+00
9.750000e+02	1.000000e+03	0.000000e+00	0.000000e+00	0.000000e+00
# END HISTOGRAM

