# BEGIN PLOT
DrawOnly=/Users/lukas/Code/atlas/dmhiggs/rivet/Rivet.yoda/DMHiggsFiducial/PhotonEta
Legend=1
LogY=1
# END PLOT

# BEGIN HISTOGRAM /Users/lukas/Code/atlas/dmhiggs/rivet/Rivet.yoda/DMHiggsFiducial/PhotonEta
LineColor={[HTML]{EE3311}}
LineStyle=solid
Path=/Users/lukas/Code/atlas/dmhiggs/rivet/Rivet.yoda/DMHiggsFiducial/PhotonEta
Title=Rivet
XLabel=
YLabel=
# xlow	 xhigh	 val	 errminus	 errplus
-3.000000e+00	-2.850000e+00	0.000000e+00	0.000000e+00	0.000000e+00
-2.850000e+00	-2.700000e+00	0.000000e+00	0.000000e+00	0.000000e+00
-2.700000e+00	-2.550000e+00	0.000000e+00	0.000000e+00	0.000000e+00
-2.550000e+00	-2.400000e+00	0.000000e+00	0.000000e+00	0.000000e+00
-2.400000e+00	-2.250000e+00	6.506667e+03	2.082733e+02	2.082733e+02
-2.250000e+00	-2.100000e+00	9.386667e+03	2.501555e+02	2.501555e+02
-2.100000e+00	-1.950000e+00	1.108000e+04	2.717842e+02	2.717842e+02
-1.950000e+00	-1.800000e+00	1.310667e+04	2.955973e+02	2.955973e+02
-1.800000e+00	-1.650000e+00	1.478667e+04	3.139710e+02	3.139710e+02
-1.650000e+00	-1.500000e+00	9.446667e+03	2.509537e+02	2.509537e+02
-1.500000e+00	-1.350000e+00	2.586667e+03	1.313181e+02	1.313181e+02
-1.350000e+00	-1.200000e+00	2.046000e+04	3.693237e+02	3.693237e+02
-1.200000e+00	-1.050000e+00	2.258000e+04	3.879863e+02	3.879863e+02
-1.050000e+00	-9.000000e-01	2.392000e+04	3.993328e+02	3.993328e+02
-9.000000e-01	-7.500000e-01	2.618667e+04	4.178251e+02	4.178251e+02
-7.500000e-01	-6.000000e-01	2.759333e+04	4.289004e+02	4.289004e+02
-6.000000e-01	-4.500000e-01	2.880000e+04	4.381780e+02	4.381780e+02
-4.500000e-01	-3.000000e-01	2.960000e+04	4.442222e+02	4.442222e+02
-3.000000e-01	-1.500000e-01	3.108667e+04	4.552411e+02	4.552411e+02
-1.500000e-01	-1.054712e-15	3.110000e+04	4.553387e+02	4.553387e+02
-1.054712e-15	1.500000e-01	3.063333e+04	4.519095e+02	4.519095e+02
1.500000e-01	3.000000e-01	3.076667e+04	4.528919e+02	4.528919e+02
3.000000e-01	4.500000e-01	2.989333e+04	4.464178e+02	4.464178e+02
4.500000e-01	6.000000e-01	2.874667e+04	4.377721e+02	4.377721e+02
6.000000e-01	7.500000e-01	2.764000e+04	4.292629e+02	4.292629e+02
7.500000e-01	9.000000e-01	2.626667e+04	4.184628e+02	4.184628e+02
9.000000e-01	1.050000e+00	2.484000e+04	4.069398e+02	4.069398e+02
1.050000e+00	1.200000e+00	2.236667e+04	3.861491e+02	3.861491e+02
1.200000e+00	1.350000e+00	2.058000e+04	3.704052e+02	3.704052e+02
1.350000e+00	1.500000e+00	2.513333e+03	1.294433e+02	1.294433e+02
1.500000e+00	1.650000e+00	9.893333e+03	2.568181e+02	2.568181e+02
1.650000e+00	1.800000e+00	1.410000e+04	3.065942e+02	3.065942e+02
1.800000e+00	1.950000e+00	1.248667e+04	2.885211e+02	2.885211e+02
1.950000e+00	2.100000e+00	1.051333e+04	2.647431e+02	2.647431e+02
2.100000e+00	2.250000e+00	9.633333e+03	2.534210e+02	2.534210e+02
2.250000e+00	2.400000e+00	6.060000e+03	2.009975e+02	2.009975e+02
2.400000e+00	2.550000e+00	0.000000e+00	0.000000e+00	0.000000e+00
2.550000e+00	2.700000e+00	0.000000e+00	0.000000e+00	0.000000e+00
2.700000e+00	2.850000e+00	0.000000e+00	0.000000e+00	0.000000e+00
2.850000e+00	3.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
# END HISTOGRAM

